City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
520,Rio Grande,BR,66.31,-32.035,-52.0986,
522,Bereda,ES,65.95,43.2686,-7.5406,
530,Benghazi,LY,79.97,32.1167,20.0667,
531,Nakapiripirit,UG,73.65,1.9167,34.7833,
533,Tautira,PF,78.82,-17.7333,-149.15,
541,Porto Santo,PT,73.78,33.072,-16.3415,
542,Mardin,TR,68.22,37.3131,40.7436,
543,Santiago Del Estero,AR,72.1,-27.7951,-64.2615,
548,Parasia,IN,70.3,22.2,78.7667,
551,Banepa,NP,68.32,27.6298,85.5214,
557,Ocampo,MX,72.28,21.65,-101.5,
559,Luorong,CN,67.12,24.4058,109.6086,
562,Trapani,IT,66.38,37.8333,12.6667,
569,General Pico,AR,75.06,-35.6566,-63.7568,
571,Kamaishi,JP,66.79,39.2667,141.8833,
575,Gat,IL,77.4,31.61,34.7642,
579,Bataipora,BR,68.45,-22.2953,-53.2711,
584,Ejutla De Crespo,MX,74.35,16.5667,-96.7333,
586,Dunn,US,77.22,44.95,-91.8835,
587,Shingu,JP,68.36,33.7333,135.9833,
588,Elizabeth City,US,77.02,36.2946,-76.2511,
594,Hobyo,SO,79.52,5.3505,48.5268,
599,Talara,PE,75.96,-4.5772,-81.2719,
600,Manta,EC,74.98,-0.95,-80.7333,
604,Gorontalo,ID,78.21,0.5412,123.0595,
611,Methoni,GR,66.22,36.8197,21.7049,
613,Los Llanos De Aridane,ES,71.35,28.6585,-17.9182,
614,Nanning,CN,72.05,22.8167,108.3167,
620,San Ramon De La Nueva Oran,AR,74.52,-23.1322,-64.326,
628,Konde,TZ,77.16,-4.95,39.75,
630,Imbituba,BR,69.69,-28.24,-48.6703,
635,Auki,SB,77.0,-8.7676,160.7034,
639,Taltal,CL,66.78,-25.4,-70.4833,
643,Chester,US,66.11,40.1254,-75.8749,
648,Bambanglipuro,ID,76.39,-7.95,110.2833,
651,Praia Da Vitoria,PT,73.76,38.7333,-27.0667,
652,Valparaiso,CL,71.83,-33.0393,-71.6273,
654,Honiara,SB,78.28,-9.4333,159.95,
655,Soe,ID,65.46,-9.8607,124.284,
656,Mayumba,GA,76.66,-3.432,10.6554,
661,Togitsu,JP,77.99,32.8333,129.85,
662,Vlore,AL,68.25,40.4667,19.4897,
666,Marshalltown,US,73.02,42.0494,-92.908,
668,Quelimane,MZ,78.75,-17.8786,36.8883,
671,Kasongo-Lunda,CD,75.4,-6.4667,16.8167,
