City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
49,Sioux Lookout,CA,2021-10-07 12:14:31,50.1001,-91.917,53.76,96,5,5.91
50,Safaga,EG,2021-10-07 12:14:31,26.7292,33.9365,85.84,50,0,12.55
51,Nyurba,RU,2021-10-07 12:14:31,63.2842,118.3319,31.6,95,98,8.39
52,Lompoc,US,2021-10-07 12:14:31,34.6391,-120.4579,61.57,86,40,0.0
53,High Level,CA,2021-10-07 12:14:32,58.5169,-117.136,31.08,92,95,4.61
54,Whitehorse,CA,2021-10-07 12:12:40,60.7161,-135.0538,35.31,69,100,11.99
55,Smithville,US,2021-10-07 12:14:32,39.3869,-94.5811,65.44,86,90,0.0
56,Port-Gentil,GA,2021-10-07 12:14:32,-0.7193,8.7815,76.95,82,97,6.82
57,Mugumu,TZ,2021-10-07 12:14:33,-1.85,34.7,85.24,24,55,5.06
58,Ushuaia,AR,2021-10-07 12:14:33,-54.8,-68.3,40.62,73,74,3.89
59,Katsuura,JP,2021-10-07 12:14:34,35.1333,140.3,74.19,81,95,14.7
60,Mahanoro,MG,2021-10-07 12:14:34,-19.9,48.8,71.38,84,80,12.59
61,Iranshahr,IR,2021-10-07 12:14:34,27.2025,60.6848,99.25,12,0,6.17
62,Upernavik,GL,2021-10-07 12:10:10,72.7868,-56.1549,26.44,49,32,5.3
63,Dourbali,TD,2021-10-07 12:10:17,11.8091,15.8632,97.11,18,2,2.37
64,Luyang,CN,2021-10-07 12:14:35,27.6239,110.0989,65.48,77,52,6.51
65,Erenhot,CN,2021-10-07 12:14:35,43.6475,111.9767,53.13,40,64,10.18
66,Soe,ID,2021-10-07 12:14:35,-9.8607,124.284,66.07,85,12,2.53
67,Port Elizabeth,ZA,2021-10-07 12:14:36,-33.918,25.5701,84.09,66,61,22.37
68,Souillac,MU,2021-10-07 12:14:36,-20.5167,57.5167,79.36,71,10,8.86
69,Torbay,CA,2021-10-07 12:14:37,47.6666,-52.7314,53.58,77,47,5.99
70,Yellowknife,CA,2021-10-07 12:14:37,62.456,-114.3525,36.41,100,75,2.3
71,Saskylakh,RU,2021-10-07 12:12:14,71.9167,114.0833,16.54,96,100,6.71
72,Kavieng,PG,2021-10-07 12:14:37,-2.5744,150.7967,81.59,76,85,6.55
